PRO-CTCAE System ID,PRO-CTCAE Term,FREQ,SEV,INT,AMT,PRES/ABS,pCTCAE,Verbatim
10001,"Aching joints (such as elbows, knees, shoulders)",0,0,0,n/a,n/a,0,
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,0,n/a,n/a,0,
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,1,n/a,n/a,1,"Aching joints: Grade 1 (occurs rarely, interferes a little bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,2,n/a,n/a,1,"Aching joints: Grade 1 (occurs rarely, interferes somewhat with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,3,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, interferes quite a bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,4,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, interferes very much with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,0,n/a,n/a,1,"Aching joints: Grade 1 (occurs rarely, mild severity, does not interfere with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,1,n/a,n/a,1,"Aching joints: Grade 1 (occurs rarely, mild severity, interferes a little bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,2,n/a,n/a,1,"Aching joints: Grade 1 (occurs rarely, mild severity, interferes somewhat with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,3,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, mild severity, interferes quite a bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,4,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, mild severity, interferes very much with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,0,n/a,n/a,1,"Aching joints: Grade 1 (occurs rarely, moderate severity, does not interfere with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,1,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, moderate severity, interferes a little bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,2,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, moderate severity, interferes somewhat with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,3,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, moderate severity, interferes quite a bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,4,n/a,n/a,3,"Aching joints: Grade 3 (occurs rarely, moderate severity, interferes very much with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,0,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, severe, does not interfere with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,1,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, severe, interferes a little bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,2,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, severe, interferes somewhat with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,3,n/a,n/a,3,"Aching joints: Grade 3 (occurs rarely, severe, interferes quite a bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,4,n/a,n/a,3,"Aching joints: Grade 3 (occurs rarely, severe, interferes very much with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,0,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, very severe, does not interfere with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,1,n/a,n/a,2,"Aching joints: Grade 2 (occurs rarely, very severe, interferes a little bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,2,n/a,n/a,3,"Aching joints: Grade 3 (occurs rarely, very severe, interferes somewhat with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,3,n/a,n/a,3,"Aching joints: Grade 3 (occurs rarely, very severe, interferes quite a bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,4,n/a,n/a,3,"Aching joints: Grade 3 (occurs rarely, very severe, interferes very much with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,0,n/a,n/a,0,
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,1,n/a,n/a,1,"Aching joints: Grade 1 (occurs occasionally, interferes a little bit with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,2,n/a,n/a,1,"Aching joints: Grade 1 (occurs occasionally, interferes somewhat with activities)"
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,3,n/a,n/a,2,"Aching joints: Grade 2 (occurs occasionally, interferes quite a bit with activities)"
